presupuesto,id_pelicula,original_language,popularidad,fecha_de_estreno,ganancias,titulo_pelicula,vote_average,vote_count,mes_estreno,dia_semana,return_ROI,year_estreno
30000000,862,english,22,1995-10-30,373554050,toy story,7.7,5415,enero,lunes,12.4518,1995
65000000,8844,english,17,1995-12-15,262797250,jumanji,6.9,2413,diciembre,viernes,4.043,1995
0,15602,english,12,1995-12-22,0,grumpier old men,6.5,92,diciembre,viernes,0.0,1995
16000000,31357,english,4,1995-12-22,81452160,waiting to exhale,6.1,34,diciembre,viernes,5.0908,1995
0,11862,english,8,1995-02-10,76578910,father of the bride part ii,5.7,173,febrero,viernes,0.0,1995
60000000,949,english,18,1995-12-15,187436820,heat,7.7,1886,diciembre,viernes,3.1239,1995
58000000,11860,english,7,1995-12-15,0,sabrina,6.2,141,diciembre,viernes,0.0,1995
0,45325,english,3,1995-12-22,0,tom and huck,5.4,45,diciembre,viernes,0.0,1995
35000000,9091,english,5,1995-12-22,64350172,sudden death,5.5,174,diciembre,viernes,1.8386,1995
58000000,710,english,15,1995-11-16,352194050,goldeneye,6.6,1194,noviembre,jueves,6.0723,1995
62000000,9087,english,6,1995-11-17,107879496,the american president,6.5,199,noviembre,viernes,1.74,1995
0,12110,english,5,1995-12-22,0,dracula: dead and loving it,5.7,210,diciembre,viernes,0.0,1995
0,21032,english,12,1995-12-22,11348324,balto,7.1,423,diciembre,viernes,0.0,1995
44000000,10858,english,5,1995-12-22,13681765,nixon,7.1,72,diciembre,viernes,0.3109,1995
98000000,1408,english,7,1995-12-22,10017322,cutthroat island,5.7,137,diciembre,viernes,0.1022,1995
52000000,524,english,10,1995-11-22,116112376,casino,7.8,1343,noviembre,miercoles,2.2329,1995
4000000,5,english,9,1995-12-09,4300000,four rooms,6.5,539,diciembre,sabado,1.075,1995
30000000,9273,english,8,1995-11-10,212385540,ace ventura: when nature calls,6.1,1128,noviembre,viernes,7.0795,1995
60000000,11517,english,7,1995-11-21,35431110,money train,5.4,224,noviembre,martes,0.5905,1995
30250000,8012,english,13,1995-10-20,115101624,get shorty,6.4,305,enero,viernes,3.805,1995
0,1710,english,11,1995-10-27,0,copycat,6.5,199,enero,viernes,0.0,1995
50000000,9691,english,11,1995-10-06,30303072,assassins,6.0,394,enero,viernes,0.6061,1995
0,12665,english,12,1995-10-27,0,powder,6.3,143,enero,viernes,0.0,1995
3600000,451,english,10,1995-10-27,49800000,leaving las vegas,7.1,365,enero,viernes,13.8333,1995
0,16420,english,2,1995-12-15,0,othello,7.0,33,diciembre,viernes,0.0,1995
12000000,9263,english,9,1995-10-20,27400000,now and then,6.6,91,enero,viernes,2.2833,1995
0,17015,english,2,1995-09-27,0,persuasion,7.4,36,septiembre,miercoles,0.0,1995
18000000,902,Francespanish,10,1995-05-16,1738611,the city of lost children,7.6,308,mayo,martes,0.0966,1995
0,37557,chino,1,1995-04-30,0,shanghai triad,6.5,17,abril,domingo,0.0,1995
0,9909,english,9,1995-08-11,180000000,dangerous minds,6.4,249,agosto,viernes,0.0,1995
29500000,63,english,12,1995-12-29,168840000,twelve monkeys,7.4,2470,diciembre,viernes,5.7234,1995
0,78802,Francespanish,1,1996-09-18,0,wings of courage,6.8,4,septiembre,miercoles,0.0,1996
30000000,9598,english,14,1995-07-18,254134910,babe,6.0,756,julio,martes,8.4712,1995
0,47018,english,1,1995-11-08,0,carrington,6.4,16,noviembre,miercoles,0.0,1995
11000000,687,english,7,1995-12-29,39363636,dead man walking,7.3,350,diciembre,viernes,3.5785,1995
0,33689,english,8,1995-11-17,0,it takes two,6.1,149,noviembre,viernes,0.0,1995
12000000,9603,english,10,1995-07-19,0,clueless,6.9,828,julio,miercoles,0.0,1995
0,34615,english,1,1995-12-15,676525,"cry, the beloved country",6.7,13,diciembre,viernes,0.0,1995
0,31174,english,5,1995-12-29,0,richard iii,6.9,50,diciembre,viernes,0.0,1995
10000000,11443,english,10,1995-10-06,0,dead presidents,6.6,80,enero,viernes,0.0,1995
19000000,35196,english,11,1995-12-29,0,restoration,6.3,30,diciembre,viernes,0.0,1995
18000000,9312,english,11,1995-08-18,122195920,mortal kombat,5.4,452,agosto,viernes,6.7887,1995
20000000,577,english,10,1995-05-20,21284514,to die for,6.7,177,mayo,sabado,1.0642,1995
10000000,11861,english,4,1995-10-06,23574130,how to make an american quilt,6.5,38,enero,viernes,2.3574,1995
33000000,807,english,18,1995-09-22,327311870,se7en,8.1,5915,septiembre,viernes,9.9185,1995
55000000,10530,english,13,1995-06-14,346079780,pocahontas,6.7,1509,junio,miercoles,6.2924,1995
0,8391,english,3,1995-05-05,0,when night is falling,5.9,10,mayo,viernes,0.0,1995
6000000,629,english,16,1995-07-19,23341568,the usual suspects,8.1,3334,julio,miercoles,3.8903,1995
0,117164,english,1,1994-11-22,0,guardian angel,6.3,3,noviembre,martes,0.0,1994
15000000,11448,english,16,1995-09-13,6700000,mighty aphrodite,6.7,145,septiembre,miercoles,0.4467,1995
0,49133,Italiano,1,1994-01-01,0,lamerica,7.7,11,enero,sabado,0.0,1994
0,26441,english,6,1995-09-29,0,the big green,5.2,41,septiembre,viernes,0.0,1995
0,97406,english,4,1995-05-19,0,georgia,6.1,15,mayo,viernes,0.0,1995
0,9089,english,8,1995-11-02,17519168,home for the holidays,6.3,39,noviembre,jueves,0.0,1995
0,11010,Italiano,10,1994-09-22,0,the postman,7.6,181,septiembre,jueves,0.0,1994
45000000,11359,english,11,1995-07-14,0,the indian in the cupboard,5.9,136,julio,viernes,0.0,1995
20000000,17182,english,5,1996-01-12,0,eye for an eye,5.8,65,enero,viernes,0.0,1996
0,2054,english,7,1995-12-29,106269970,mr. holland's opus,6.9,115,diciembre,viernes,0.0,1995
0,10607,english,12,1996-01-12,0,don't be a menace to south central while drinking your juice in the hood,6.2,192,enero,viernes,0.0,1996
0,19760,english,2,1996-01-12,0,two if by sea,4.5,14,enero,viernes,0.0,1996
15000000,9536,english,6,1996-01-12,0,bio-dome,4.4,110,enero,viernes,0.0,1996
0,11525,english,2,1996-01-12,2409225,lawnmower man 2: beyond cyberspace,2.8,32,enero,viernes,0.0,1996
0,40628,english,4,1995-10-22,0,two bits,5.4,11,enero,domingo,0.0,1995
0,4482,Francespanish,3,1995-02-08,0,french twist,6.0,43,febrero,miercoles,0.0,1995
3500000,10634,english,15,1995-04-26,28215918,friday,7.0,513,abril,miercoles,8.0617,1995
19000000,755,english,15,1996-01-19,25836616,from dusk till dawn,6.9,1644,enero,viernes,1.3598,1996
50000000,11859,english,6,1995-11-03,11534477,fair game,4.1,54,noviembre,viernes,0.2307,1995
0,28387,english,3,1995-10-06,718490,kicking and screaming,7.0,36,enero,viernes,0.0,1995
0,48750,Francespanish,1,1995-03-22,0,les miserables,6.6,8,marzo,miercoles,0.0,1995
0,20927,english,10,1996-01-26,19030692,bed of roses,5.1,27,enero,viernes,0.0,1996
15000000,36929,english,3,1996-01-26,2042530,big bully,3.9,16,enero,viernes,0.1362,1996
20000000,9102,english,13,1995-09-08,5781885,screamers,6.1,154,septiembre,viernes,0.2891,1995
0,27526,english,6,1995-11-15,0,the crossing guard,6.1,74,noviembre,miercoles,0.0,1995
44000000,9623,english,6,1996-02-02,0,the juror,5.5,91,febrero,viernes,0.0,1996
0,46785,Fa,1,1995-01-01,0,the white balloon,7.5,20,enero,domingo,0.0,1995
8000000,400,english,4,1995-12-01,529766,things to do in denver when you're dead,6.7,87,diciembre,viernes,0.0662,1995
