ganancias,titulo_pelicula,vote_average,vote_count,mes_estreno,dia_semana,year_estreno
373554050,toy story,7.7,5415,enero,lunes,1995
262797250,jumanji,6.9,2413,diciembre,viernes,1995
0,grumpier old men,6.5,92,diciembre,viernes,1995
81452160,waiting to exhale,6.1,34,diciembre,viernes,1995
76578910,father of the bride part ii,5.7,173,febrero,viernes,1995
187436820,heat,7.7,1886,diciembre,viernes,1995
0,sabrina,6.2,141,diciembre,viernes,1995
0,tom and huck,5.4,45,diciembre,viernes,1995
64350172,sudden death,5.5,174,diciembre,viernes,1995
352194050,goldeneye,6.6,1194,noviembre,jueves,1995
107879496,the american president,6.5,199,noviembre,viernes,1995
0,dracula: dead and loving it,5.7,210,diciembre,viernes,1995
11348324,balto,7.1,423,diciembre,viernes,1995
13681765,nixon,7.1,72,diciembre,viernes,1995
10017322,cutthroat island,5.7,137,diciembre,viernes,1995
116112376,casino,7.8,1343,noviembre,miercoles,1995
4300000,four rooms,6.5,539,diciembre,sabado,1995
212385540,ace ventura: when nature calls,6.1,1128,noviembre,viernes,1995
35431110,money train,5.4,224,noviembre,martes,1995
115101624,get shorty,6.4,305,enero,viernes,1995
0,copycat,6.5,199,enero,viernes,1995
30303072,assassins,6.0,394,enero,viernes,1995
0,powder,6.3,143,enero,viernes,1995
49800000,leaving las vegas,7.1,365,enero,viernes,1995
0,othello,7.0,33,diciembre,viernes,1995
27400000,now and then,6.6,91,enero,viernes,1995
0,persuasion,7.4,36,septiembre,miercoles,1995
1738611,the city of lost children,7.6,308,mayo,martes,1995
0,shanghai triad,6.5,17,abril,domingo,1995
180000000,dangerous minds,6.4,249,agosto,viernes,1995
168840000,twelve monkeys,7.4,2470,diciembre,viernes,1995
0,wings of courage,6.8,4,septiembre,miercoles,1996
254134910,babe,6.0,756,julio,martes,1995
0,carrington,6.4,16,noviembre,miercoles,1995
39363636,dead man walking,7.3,350,diciembre,viernes,1995
0,it takes two,6.1,149,noviembre,viernes,1995
0,clueless,6.9,828,julio,miercoles,1995
676525,"cry, the beloved country",6.7,13,diciembre,viernes,1995
0,richard iii,6.9,50,diciembre,viernes,1995
0,dead presidents,6.6,80,enero,viernes,1995
0,restoration,6.3,30,diciembre,viernes,1995
122195920,mortal kombat,5.4,452,agosto,viernes,1995
21284514,to die for,6.7,177,mayo,sabado,1995
23574130,how to make an american quilt,6.5,38,enero,viernes,1995
327311870,se7en,8.1,5915,septiembre,viernes,1995
346079780,pocahontas,6.7,1509,junio,miercoles,1995
0,when night is falling,5.9,10,mayo,viernes,1995
23341568,the usual suspects,8.1,3334,julio,miercoles,1995
0,guardian angel,6.3,3,noviembre,martes,1994
6700000,mighty aphrodite,6.7,145,septiembre,miercoles,1995
0,lamerica,7.7,11,enero,sabado,1994
0,the big green,5.2,41,septiembre,viernes,1995
